Point,Description,ExtendedID
OSU_RTS.CALC.1101_DWC,TORRES DOM W TOTAL CONS,1101_DWC
OSU_RTS.CALC.1101_GPA,Torres Gas PSI Alarm,1101_GPALARM
OSU_RTS.MDBUS_RH.1101_CDT,TORRES CW DELTA T,
OSU_RTS.MDBUS_RH.1101_CHF,TORRES CW HEAT FLOW,
OSU_RTS.MDBUS_RH.1101_CHT,TORRES CW HEAT CONS,
OSU_RTS.MDBUS_RH.1101_CRT,TORRES CW RET TEMP,
OSU_RTS.MDBUS_RH.1101_CST,TORRES CW SUP TEMP,
OSU_RTS.MDBUS_RH.1101_CVF,TORRES CW VOLUME FLOW,
OSU_RTS.MDBUS_RH.1101_D1H,TORRES DOM W1 HI REG,1101_D1H
OSU_RTS.MDBUS_RH.1101_D1L,TORRES DOM W1 LO REG,1101_D1L
OSU_RTS.MDBUS_RH.1101_DHD,TORRES DHW DELTA T,
OSU_RTS.MDBUS_RH.1101_DHF,TORRES DHW HEAT FLOW,
OSU_RTS.MDBUS_RH.1101_DHR,TORRES DHW RWT,
OSU_RTS.MDBUS_RH.1101_DHS,TORRES DHW SWT,
OSU_RTS.MDBUS_RH.1101_DHT,TORRES DHW HEAT TOT,
OSU_RTS.MDBUS_RH.1101_DVF,TORRES DHW VOLUME FL,
OSU_RTS.MDBUS_RH.1101_DWC,TORRES DOM WATER CONS,
OSU_RTS.MDBUS_RH.1101_EC,TORRES ELEC CONS,
OSU_RTS.MDBUS_RH.1101_GBV,TORRES GAS BATTERY VOLTA,
OSU_RTS.MDBUS_RH.1101_GCV,TORRES GAS CORRECTED VOL,1101_GCV
OSU_RTS.MDBUS_RH.1101_GP,TORRES GAS PRESSURE,1101_GP
OSU_RTS.MDBUS_RH.1101_GT,TORRES GAS TEMP,
OSU_RTS.MDBUS_RH.1101_GUV,TORRES GAS UNCORRECTED V,
OSU_RTS.MDBUS_RH.1101_HDT,TORRES HW DELTA T,
OSU_RTS.MDBUS_RH.1101_HF,TORRES CW HEAT FLOW,1101_HF
OSU_RTS.MDBUS_RH.1101_HGT,TORRES CW HEAT GRAND,1101_HGT
OSU_RTS.MDBUS_RH.1101_HHF,TORRES HW HEAT FLOW,
OSU_RTS.MDBUS_RH.1101_HHT,TORRES HW HEAT TOTAL,
OSU_RTS.MDBUS_RH.1101_HMT,TORRES HW MASS TOTAL,
OSU_RTS.MDBUS_RH.1101_HRT,TORRES HW RETURN TEMP,
OSU_RTS.MDBUS_RH.1101_HST,TORRES HW SUPPLY TEMP,
OSU_RTS.MDBUS_RH.1101_HVF,TORRES HW VOLUME FLOW,
